product_id,product_category_name,total_revenue,total_sales
6cdd53843498f92890544667809f1595,beleza_saude,63665.41,156
f1c7f353075ce59d8a6f3cf58f419c9c,cama_mesa_banho,34963.21,162
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,27706.68,215
d0825229639d1afa9bd533314e27d7c8,moveis_decoracao,14502.06,8
e9a69340883a438c3f91739d14d3a56d,utilidades_domesticas,13743.33,56
e4d325bd1eea550509bdbbc5c3301fc1,perfumaria,12829.09,34
13db47eae724e2848e12b71a617a3a41,audio,12737.09,24
c6ea63369936552872ae890c82175b4b,cama_mesa_banho,10215.29,43
8aa6223e400af9c97b07c75993142721,bebes,10150.14,47
e0d64dcfaa3b6db5c54ca298ae101d05,relogios_presentes,9142.01,46
